iter	Passed	Remaining
468	687	778
469	688	776
470	689	774
471	690	772
472	691	770
473	692	768
474	693	766
475	694	764
476	694	762
477	695	759
478	696	757
479	697	755
480	698	753
481	699	751
482	699	749
483	700	747
484	701	744
485	702	742
486	702	740
487	703	738
488	705	736
489	706	735
490	707	733
491	708	731
492	708	728
493	709	726
494	710	724
495	711	722
496	712	720
497	712	718
498	713	716
499	714	714
500	715	712
501	715	710
502	716	708
503	717	706
504	718	704
505	720	703
506	721	701
507	722	699
508	723	697
509	724	695
510	724	693
511	725	691
512	726	689
513	727	687
514	728	685
515	728	683
516	729	681
517	730	679
518	731	677
519	732	675
520	733	674
521	734	672
522	735	671
523	736	669
524	737	667
525	738	665
526	739	663
527	740	661
528	741	659
529	742	658
530	742	656
531	743	654
532	744	652
533	745	650
534	746	648
535	747	646
536	748	645
537	749	643
538	750	641
539	751	640
540	752	638
541	753	636
542	754	634
543	755	633
544	756	631
545	756	629
546	757	627
547	758	625
548	759	623
549	760	621
550	761	620
551	762	618
552	763	616
553	764	615
554	765	613
555	766	611
556	766	609
557	767	608
558	768	606
559	769	604
560	770	602
561	771	600
562	772	599
563	772	597
564	773	595
565	774	593
566	774	591
567	775	589
568	776	588
569	777	586
570	778	585
571	779	583
572	780	581
573	781	580
574	782	578
575	783	576
576	784	574
577	785	573
578	786	571
579	786	569
580	787	568
581	788	566
582	789	564
583	790	562
584	791	561
585	792	559
586	793	558
587	794	556
588	795	555
589	796	553
590	797	551
591	798	550
592	799	548
593	799	546
594	800	545
595	801	543
596	802	541
597	803	539
598	804	538
599	804	536
600	805	534
601	806	533
602	808	532
603	809	530
604	810	529
605	811	527
606	812	526
607	813	524
608	814	522
609	814	520
610	815	519
611	816	517
612	817	515
613	818	514
614	818	512
615	819	510
616	820	509
617	822	508
618	823	506
619	824	505
620	825	503
621	826	502
622	827	500
623	828	499
624	829	497
625	829	495
626	830	494
627	831	492
628	832	490
629	833	489
630	833	487
631	834	485
632	835	484
633	836	483
634	838	481
635	839	480
636	839	478
637	840	477
638	841	475
639	842	473
640	843	472
641	844	470
642	844	469
643	845	467
644	846	465
645	847	464
646	848	462
647	849	461
648	849	459
649	851	458
650	852	456
651	853	455
652	854	454
653	855	452
654	856	450
655	856	449
656	857	447
657	859	446
658	860	445
659	861	443
660	861	442
661	862	440
662	863	438
663	864	437
664	865	435
665	866	434
666	867	432
667	867	431
668	868	429
669	869	428
670	870	426
671	871	425
672	872	423
673	872	422
674	873	420
675	874	419
676	875	417
677	876	416
678	877	414
679	877	413
680	878	411
681	879	410
682	880	408
683	881	407
684	882	405
685	883	404
686	884	402
687	885	401
688	886	400
689	887	398
690	887	396
691	888	395
692	889	394
693	890	392
694	891	391
695	891	389
696	892	388
697	893	386
698	894	385
699	895	383
700	896	382
701	897	380
702	898	379
703	898	377
704	899	376
705	900	375
706	901	373
707	902	372
708	903	370
709	904	369
710	905	367
711	905	366
712	906	365
713	907	363
714	908	362
715	909	360
716	910	359
717	911	357
718	912	356
719	912	355
720	913	353
721	914	352
722	915	350
723	916	349
724	916	347
725	917	346
726	918	344
727	919	343
728	920	342
729	920	340
730	921	339
731	922	337
732	923	336
733	924	334
734	925	333
735	926	332
736	926	330
737	927	329
738	928	327
739	929	326
740	930	325
741	931	323
742	931	322
743	932	320
744	933	319
745	934	318
746	935	316
747	936	315
748	936	313
749	937	312
750	939	311
751	940	310
752	941	308
753	942	307
754	943	306
755	944	304
756	945	303
757	946	302
758	947	300
759	948	299
760	949	298
761	950	296
762	950	295
763	951	294
764	953	292
765	954	291
766	955	290
767	956	288
768	957	287
769	958	286
770	959	284
771	960	283
772	961	282
773	961	280
774	962	279
775	963	278
776	964	276
777	965	275
778	966	274
779	967	272
780	969	271
781	970	270
782	971	269
783	972	267
784	973	266
785	974	265
786	975	263
787	976	262
788	977	261
789	978	260
790	979	258
791	980	257
792	981	256
793	982	254
794	983	253
795	984	252
796	986	251
797	987	250
798	988	248
799	990	247
800	991	246
801	992	244
802	993	243
803	994	242
804	995	241
805	997	239
806	999	238
807	1000	237
808	1001	236
809	1001	235
810	1002	233
811	1003	232
812	1004	231
813	1005	229
814	1006	228
815	1007	227
816	1008	225
817	1009	224
818	1010	223
819	1011	222
820	1013	220
821	1014	219
822	1015	218
823	1016	217
824	1017	215
825	1018	214
826	1019	213
827	1021	212
828	1022	210
829	1023	209
830	1024	208
831	1027	207
832	1028	206
833	1029	204
834	1030	203
835	1031	202
836	1032	201
837	1033	199
838	1034	198
839	1035	197
840	1036	195
841	1036	194
842	1037	193
843	1038	191
844	1039	190
845	1040	189
846	1041	188
847	1043	187
848	1044	185
849	1045	184
850	1046	183
851	1047	181
852	1048	180
853	1049	179
854	1050	178
855	1051	176
856	1052	175
857	1053	174
858	1056	173
859	1058	172
860	1059	171
861	1061	169
862	1062	168
863	1063	167
864	1064	166
865	1065	164
866	1066	163
867	1067	162
868	1068	161
869	1070	159
870	1072	158
871	1073	157
872	1074	156
873	1075	155
874	1077	153
875	1078	152
876	1079	151
877	1080	150
878	1081	148
879	1082	147
880	1083	146
881	1085	145
882	1086	144
883	1087	142
884	1088	141
885	1089	140
886	1090	138
887	1091	137
888	1092	136
889	1093	135
890	1094	133
891	1095	132
892	1096	131
893	1097	130
894	1099	128
895	1101	127
896	1102	126
897	1103	125
898	1104	124
899	1105	122
900	1106	121
901	1107	120
902	1108	119
903	1109	117
904	1110	116
905	1110	115
906	1112	114
907	1113	112
908	1115	111
909	1116	110
910	1117	109
911	1118	107
912	1119	106
913	1120	105
914	1121	104
915	1122	102
916	1123	101
917	1124	100
918	1125	99
919	1127	98
920	1129	96
921	1130	95
922	1131	94
923	1132	93
924	1133	91
925	1134	90
926	1136	89
927	1137	88
928	1138	87
929	1139	85
930	1140	84
931	1142	83
932	1143	82
933	1144	80
934	1145	79
935	1146	78
936	1147	77
937	1148	75
938	1149	74
939	1150	73
940	1151	72
941	1152	70
942	1153	69
943	1154	68
944	1156	67
945	1157	66
946	1158	64
947	1159	63
948	1160	62
949	1161	61
950	1162	59
951	1163	58
952	1164	57
953	1165	56
954	1166	54
955	1166	53
956	1167	52
957	1168	51
958	1169	50
959	1171	48
960	1172	47
961	1173	46
962	1174	45
963	1175	43
964	1176	42
965	1177	41
966	1178	40
967	1179	38
968	1180	37
969	1181	36
970	1183	35
971	1184	34
972	1186	32
973	1186	31
974	1187	30
975	1188	29
976	1189	28
977	1190	26
978	1191	25
979	1192	24
980	1193	23
981	1194	21
982	1195	20
983	1196	19
984	1197	18
985	1199	17
986	1200	15
987	1201	14
988	1202	13
989	1203	12
990	1204	10
991	1206	9
992	1207	8
993	1207	7
994	1208	6
995	1209	4
996	1210	3
997	1212	2
998	1213	1
999	1214	0
